location_stand,position.lat,position.lng,banking,bike_stands,available_bike_stands,available_bikes,status,Time of Call
Smithfield North,53.349562,-6.278198,TRUE,30,0,30,OPEN,17-08-2019 22:07
Parnell Square North,53.353462,-6.265305,TRUE,20,19,1,OPEN,17-08-2019 22:07
Clonmel Street,53.336021,-6.26298,FALSE,33,28,5,OPEN,17-08-2019 22:07
Avondale Road,53.359405,-6.276142,FALSE,40,16,24,OPEN,17-08-2019 22:07
Mount Street Lower,53.33796,-6.24153,FALSE,40,33,7,OPEN,17-08-2019 22:07
Christchurch Place,53.343368,-6.27012,FALSE,20,2,18,OPEN,17-08-2019 22:07
Grantham Street,53.334123,-6.265436,TRUE,30,14,16,OPEN,17-08-2019 22:07
Pearse Street,53.344304,-6.250427,TRUE,30,13,17,OPEN,17-08-2019 22:07
York Street East,53.338755,-6.262003,FALSE,32,13,19,OPEN,17-08-2019 22:07
Excise Walk,53.347777,-6.244239,FALSE,40,14,26,OPEN,17-08-2019 22:07
Fitzwilliam Square West,53.336074,-6.252825,FALSE,30,20,10,OPEN,17-08-2019 22:07
Portobello Road,53.330091,-6.268044,TRUE,30,18,12,OPEN,17-08-2019 22:07
St. James Hospital (Central),53.339983,-6.295594,FALSE,40,35,5,OPEN,17-08-2019 22:07
Parnell Street,53.350929,-6.265125,FALSE,20,17,3,OPEN,17-08-2019 22:07
Frederick Street South,53.341515,-6.256853,TRUE,40,18,22,OPEN,17-08-2019 22:07
Fownes Street Upper,53.344603,-6.263371,FALSE,30,0,30,OPEN,17-08-2019 22:07
Custom House,53.348279,-6.254662,TRUE,30,6,24,OPEN,17-08-2019 22:07
Rathdown Road,53.35893,-6.280337,FALSE,40,40,0,OPEN,17-08-2019 22:07
North Circular Road (O'Connell's),53.357841,-6.251557,FALSE,30,24,6,OPEN,17-08-2019 22:07
Hanover Quay,53.344115,-6.237153,TRUE,40,36,4,OPEN,17-08-2019 22:07
Oliver Bond Street,53.343893,-6.280531,FALSE,30,29,1,OPEN,17-08-2019 22:07
Collins Barracks Museum,53.347477,-6.28525,TRUE,38,6,32,OPEN,17-08-2019 22:07
Brookfield Road,53.339005,-6.300217,FALSE,30,22,7,OPEN,17-08-2019 22:07
Benson Street,53.344153,-6.233451,FALSE,40,39,1,OPEN,17-08-2019 22:07
Earlsfort Terrace,53.334019,-6.258371,FALSE,30,27,3,OPEN,17-08-2019 22:07
Golden Lane,53.340803,-6.267732,FALSE,20,8,12,OPEN,17-08-2019 22:07
Deverell Place,53.351464,-6.255265,FALSE,30,2,28,OPEN,17-08-2019 22:07
Wilton Terrace (Park),53.333653,-6.248345,TRUE,40,38,2,OPEN,17-08-2019 22:07
John Street West,53.343105,-6.277167,FALSE,31,18,13,OPEN,17-08-2019 22:07
Fenian Street,53.341428,-6.24672,FALSE,35,35,0,OPEN,17-08-2019 22:07
Merrion Square South,53.338614,-6.248606,TRUE,40,40,0,OPEN,17-08-2019 22:07
South Dock Road,53.341833,-6.231291,FALSE,30,6,24,OPEN,17-08-2019 22:07
City Quay,53.346637,-6.246154,FALSE,30,28,2,OPEN,17-08-2019 22:07
Exchequer Street,53.343034,-6.263578,FALSE,24,3,21,OPEN,17-08-2019 22:07
The Point,53.346867,-6.230852,FALSE,40,13,27,OPEN,17-08-2019 22:07
Hatch Street,53.33403,-6.260714,FALSE,36,33,3,OPEN,17-08-2019 22:07
Lime Street,53.346026,-6.243576,FALSE,40,31,9,OPEN,17-08-2019 22:07
Charlemont Street,53.330662,-6.260177,FALSE,40,29,11,OPEN,17-08-2019 22:07
Kilmainham Gaol,53.342113,-6.310015,TRUE,40,38,2,OPEN,17-08-2019 22:07
Hardwicke Place,53.357043,-6.263232,TRUE,25,8,17,OPEN,17-08-2019 22:07
Wolfe Tone Street,53.348875,-6.267459,FALSE,29,15,14,OPEN,17-08-2019 22:07
Francis Street,53.342081,-6.275233,FALSE,30,28,2,OPEN,17-08-2019 22:07
Greek Street,53.346874,-6.272976,FALSE,20,0,20,OPEN,17-08-2019 22:07
Guild Street,53.347932,-6.240928,FALSE,40,37,3,OPEN,17-08-2019 22:07
Herbert Place,53.334432,-6.245575,FALSE,30,20,10,OPEN,17-08-2019 22:07
High Street,53.343565,-6.275071,TRUE,29,19,10,OPEN,17-08-2019 22:07
North Circular Road,53.359624,-6.260348,FALSE,30,8,17,OPEN,17-08-2019 22:07
Western Way,53.354929,-6.269425,FALSE,40,37,3,OPEN,17-08-2019 22:07
Talbot Street,53.350974,-6.25294,FALSE,40,6,34,OPEN,17-08-2019 22:07
Newman House,53.337132,-6.26059,FALSE,40,40,0,OPEN,17-08-2019 22:07
Sir Patrick's Dun,53.339218,-6.240642,TRUE,40,30,10,OPEN,17-08-2019 22:07
New Central Bank,53.347122,-6.234749,FALSE,40,32,8,OPEN,17-08-2019 22:07
Grangegorman Lower (Central),53.355173,-6.278424,TRUE,40,40,0,OPEN,17-08-2019 22:07
King Street North,53.350291,-6.273507,FALSE,30,0,30,OPEN,17-08-2019 22:07
Killarney Street,53.354845,-6.247579,FALSE,30,7,23,OPEN,17-08-2019 22:07
Herbert Street,53.335742,-6.24551,FALSE,40,40,0,OPEN,17-08-2019 22:07
Custom House Quay,53.347884,-6.248048,FALSE,30,7,23,OPEN,17-08-2019 22:07
Molesworth Street,53.341288,-6.258117,FALSE,20,14,6,OPEN,17-08-2019 22:07
Georges Quay,53.347508,-6.252192,FALSE,20,2,18,OPEN,17-08-2019 22:07
Kilmainham Lane,53.341805,-6.305085,FALSE,30,28,2,OPEN,17-08-2019 22:07
Mount Brown,53.341645,-6.29719,FALSE,22,17,5,OPEN,17-08-2019 22:07
Market Street South,53.342296,-6.287661,FALSE,38,33,5,OPEN,17-08-2019 22:07
Kevin Street,53.337757,-6.267699,TRUE,40,33,7,OPEN,17-08-2019 22:07
Eccles Street East,53.358115,-6.265601,FALSE,27,26,1,OPEN,17-08-2019 22:07
Grand Canal Dock,53.342638,-6.238695,FALSE,40,18,21,OPEN,17-08-2019 22:07
Merrion Square East,53.339434,-6.246548,FALSE,30,30,0,OPEN,17-08-2019 22:07
York Street West,53.339334,-6.264699,FALSE,40,0,40,OPEN,17-08-2019 22:07
St. Stephen's Green South,53.337494,-6.26199,TRUE,30,14,16,OPEN,17-08-2019 22:07
Denmark Street Great,53.35561,-6.261397,FALSE,20,17,3,OPEN,17-08-2019 22:07
Royal Hospital,53.343897,-6.29706,TRUE,40,15,25,OPEN,17-08-2019 22:07
Heuston Station (Car Park),53.346985,-6.297804,FALSE,40,30,10,OPEN,17-08-2019 22:07
Grangegorman Lower (North),53.355954,-6.278378,FALSE,36,24,12,OPEN,17-08-2019 22:07
St. Stephen's Green East,53.337824,-6.256035,TRUE,40,6,33,OPEN,17-08-2019 22:07
Heuston Station (Central),53.346603,-6.296924,FALSE,40,6,34,OPEN,17-08-2019 22:07
Townsend Street,53.345922,-6.254614,FALSE,20,7,13,OPEN,17-08-2019 22:07
George's Lane,53.35023,-6.279696,FALSE,40,24,16,OPEN,17-08-2019 22:07
Phibsborough Road,53.356307,-6.273717,FALSE,40,40,0,OPEN,17-08-2019 22:07
Eccles Street,53.359246,-6.269779,FALSE,20,20,0,OPEN,17-08-2019 22:07
Portobello Harbour,53.330362,-6.265163,FALSE,30,9,21,OPEN,17-08-2019 22:07
Mater Hospital,53.359967,-6.264828,FALSE,40,37,3,OPEN,17-08-2019 22:07
Blessington Street,53.356769,-6.26814,TRUE,20,18,2,OPEN,17-08-2019 22:07
James Street,53.343456,-6.287409,TRUE,40,35,5,OPEN,17-08-2019 22:07
Mountjoy Square East,53.356717,-6.256359,TRUE,40,37,3,OPEN,17-08-2019 22:07
Merrion Square West,53.339764,-6.251988,TRUE,20,13,7,OPEN,17-08-2019 22:07
Convention Centre,53.34744,-6.238523,TRUE,40,37,3,OPEN,17-08-2019 22:07
Hardwicke Street,53.355473,-6.264423,FALSE,16,11,5,OPEN,17-08-2019 22:07
Parkgate Street,53.347972,-6.291804,TRUE,38,11,27,OPEN,17-08-2019 22:07
Smithfield,53.347692,-6.278214,FALSE,30,0,0,CLOSED,17-08-2019 22:07
Dame Street,53.344007,-6.266802,TRUE,16,1,15,OPEN,17-08-2019 22:07
Heuston Bridge (South),53.347106,-6.292041,FALSE,25,7,18,OPEN,17-08-2019 22:07
Cathal Brugha Street,53.352149,-6.260533,FALSE,20,11,9,OPEN,17-08-2019 22:07
Sandwith Street,53.345203,-6.247163,TRUE,40,15,25,OPEN,17-08-2019 22:07
Buckingham Street Lower,53.353331,-6.249319,FALSE,29,12,17,OPEN,17-08-2019 22:07
Rothe Abbey,53.338776,-6.30395,TRUE,35,22,13,OPEN,17-08-2019 22:07
Charleville Road,53.359157,-6.281866,TRUE,40,35,5,OPEN,17-08-2019 22:07
Princes Street / O'Connell Street,53.349013,-6.260311,TRUE,23,2,21,OPEN,17-08-2019 22:07
Upper Sherrard Street,53.358437,-6.260641,FALSE,30,24,6,OPEN,17-08-2019 22:07
Fitzwilliam Square East,53.335211,-6.2509,TRUE,40,37,3,OPEN,17-08-2019 22:07
Grattan Street,53.339629,-6.243778,FALSE,23,20,3,OPEN,17-08-2019 22:07
St James Hospital (Luas),53.341359,-6.292951,FALSE,40,32,8,OPEN,17-08-2019 22:07
Harcourt Terrace,53.332763,-6.257942,FALSE,20,17,3,OPEN,17-08-2019 22:07
Bolton Street,53.351182,-6.269859,FALSE,20,8,12,OPEN,17-08-2019 22:07
Jervis Street,53.3483,-6.266651,TRUE,21,14,7,OPEN,17-08-2019 22:07
Ormond Quay Upper,53.346057,-6.268001,TRUE,29,0,29,OPEN,17-08-2019 22:07
Grangegorman Lower (South),53.354663,-6.278681,FALSE,40,36,4,OPEN,17-08-2019 22:07
Mountjoy Square West,53.356299,-6.258586,FALSE,30,28,2,OPEN,17-08-2019 22:07
Wilton Terrace,53.332383,-6.252717,TRUE,20,18,2,OPEN,17-08-2019 22:07
Emmet Road,53.340714,-6.308191,FALSE,40,33,7,OPEN,17-08-2019 22:07
Heuston Bridge (North),53.347802,-6.292432,FALSE,40,16,24,OPEN,17-08-2019 22:07
Leinster Street South,53.34218,-6.254485,FALSE,30,7,23,OPEN,17-08-2019 22:07
Blackhall Place,53.3488,-6.281637,FALSE,30,1,29,OPEN,17-08-2019 22:07
Smithfield North,53.349562,-6.278198,TRUE,30,1,29,OPEN,17-08-2019 22:40
Parnell Square North,53.353462,-6.265305,TRUE,20,20,0,OPEN,17-08-2019 22:40
Clonmel Street,53.336021,-6.26298,FALSE,33,30,3,OPEN,17-08-2019 22:40
Avondale Road,53.359405,-6.276142,FALSE,40,17,23,OPEN,17-08-2019 22:40
Mount Street Lower,53.33796,-6.24153,FALSE,40,34,6,OPEN,17-08-2019 22:40
Christchurch Place,53.343368,-6.27012,FALSE,20,1,19,OPEN,17-08-2019 22:40
Grantham Street,53.334123,-6.265436,TRUE,30,26,4,OPEN,17-08-2019 22:40
Pearse Street,53.344304,-6.250427,TRUE,30,13,17,OPEN,17-08-2019 22:40
York Street East,53.338755,-6.262003,FALSE,32,13,19,OPEN,17-08-2019 22:40
Excise Walk,53.347777,-6.244239,FALSE,40,12,28,OPEN,17-08-2019 22:40
Fitzwilliam Square West,53.336074,-6.252825,FALSE,30,20,10,OPEN,17-08-2019 22:40
Portobello Road,53.330091,-6.268044,TRUE,30,15,15,OPEN,17-08-2019 22:40
St. James Hospital (Central),53.339983,-6.295594,FALSE,40,36,4,OPEN,17-08-2019 22:40
Parnell Street,53.350929,-6.265125,FALSE,20,19,1,OPEN,17-08-2019 22:40
Frederick Street South,53.341515,-6.256853,TRUE,40,18,22,OPEN,17-08-2019 22:40
Fownes Street Upper,53.344603,-6.263371,FALSE,30,0,30,OPEN,17-08-2019 22:40
Custom House,53.348279,-6.254662,TRUE,30,4,26,OPEN,17-08-2019 22:40
Rathdown Road,53.35893,-6.280337,FALSE,40,40,0,OPEN,17-08-2019 22:40
North Circular Road (O'Connell's),53.357841,-6.251557,FALSE,30,24,6,OPEN,17-08-2019 22:40
Hanover Quay,53.344115,-6.237153,TRUE,40,36,4,OPEN,17-08-2019 22:40
Oliver Bond Street,53.343893,-6.280531,FALSE,30,26,4,OPEN,17-08-2019 22:40
Collins Barracks Museum,53.347477,-6.28525,TRUE,38,5,33,OPEN,17-08-2019 22:40
Brookfield Road,53.339005,-6.300217,FALSE,30,23,7,OPEN,17-08-2019 22:40
Benson Street,53.344153,-6.233451,FALSE,40,38,2,OPEN,17-08-2019 22:40
Earlsfort Terrace,53.334019,-6.258371,FALSE,30,27,3,OPEN,17-08-2019 22:40
Golden Lane,53.340803,-6.267732,FALSE,20,7,13,OPEN,17-08-2019 22:40
Deverell Place,53.351464,-6.255265,FALSE,30,2,28,OPEN,17-08-2019 22:40
Wilton Terrace (Park),53.333653,-6.248345,TRUE,40,37,3,OPEN,17-08-2019 22:40
John Street West,53.343105,-6.277167,FALSE,31,21,10,OPEN,17-08-2019 22:40
Fenian Street,53.341428,-6.24672,FALSE,35,35,0,OPEN,17-08-2019 22:40
Merrion Square South,53.338614,-6.248606,TRUE,40,40,0,OPEN,17-08-2019 22:40
South Dock Road,53.341833,-6.231291,FALSE,30,10,20,OPEN,17-08-2019 22:40
City Quay,53.346637,-6.246154,FALSE,30,28,2,OPEN,17-08-2019 22:40
Exchequer Street,53.343034,-6.263578,FALSE,24,0,24,OPEN,17-08-2019 22:40
The Point,53.346867,-6.230852,FALSE,40,11,29,OPEN,17-08-2019 22:40
Hatch Street,53.33403,-6.260714,FALSE,36,33,3,OPEN,17-08-2019 22:40
Lime Street,53.346026,-6.243576,FALSE,40,33,7,OPEN,17-08-2019 22:40
Charlemont Street,53.330662,-6.260177,FALSE,40,37,3,OPEN,17-08-2019 22:40
Kilmainham Gaol,53.342113,-6.310015,TRUE,40,38,2,OPEN,17-08-2019 22:40
Hardwicke Place,53.357043,-6.263232,TRUE,25,6,19,OPEN,17-08-2019 22:40
Wolfe Tone Street,53.348875,-6.267459,FALSE,29,14,15,OPEN,17-08-2019 22:40
Francis Street,53.342081,-6.275233,FALSE,30,23,7,OPEN,17-08-2019 22:40
Greek Street,53.346874,-6.272976,FALSE,20,1,19,OPEN,17-08-2019 22:40
Guild Street,53.347932,-6.240928,FALSE,40,36,4,OPEN,17-08-2019 22:40
Herbert Place,53.334432,-6.245575,FALSE,30,19,11,OPEN,17-08-2019 22:40
High Street,53.343565,-6.275071,TRUE,29,19,10,OPEN,17-08-2019 22:40
North Circular Road,53.359624,-6.260348,FALSE,30,5,20,OPEN,17-08-2019 22:40
Western Way,53.354929,-6.269425,FALSE,40,37,3,OPEN,17-08-2019 22:40
Talbot Street,53.350974,-6.25294,FALSE,40,4,36,OPEN,17-08-2019 22:40
Newman House,53.337132,-6.26059,FALSE,40,40,0,OPEN,17-08-2019 22:40
Sir Patrick's Dun,53.339218,-6.240642,TRUE,40,33,7,OPEN,17-08-2019 22:40
New Central Bank,53.347122,-6.234749,FALSE,40,32,8,OPEN,17-08-2019 22:40
Grangegorman Lower (Central),53.355173,-6.278424,TRUE,40,40,0,OPEN,17-08-2019 22:40
King Street North,53.350291,-6.273507,FALSE,30,0,30,OPEN,17-08-2019 22:40
Killarney Street,53.354845,-6.247579,FALSE,30,5,25,OPEN,17-08-2019 22:40
Herbert Street,53.335742,-6.24551,FALSE,40,40,0,OPEN,17-08-2019 22:40
Custom House Quay,53.347884,-6.248048,FALSE,30,7,23,OPEN,17-08-2019 22:40
Molesworth Street,53.341288,-6.258117,FALSE,20,14,6,OPEN,17-08-2019 22:40
Georges Quay,53.347508,-6.252192,FALSE,20,1,19,OPEN,17-08-2019 22:40
Kilmainham Lane,53.341805,-6.305085,FALSE,30,28,2,OPEN,17-08-2019 22:40
Mount Brown,53.341645,-6.29719,FALSE,22,16,6,OPEN,17-08-2019 22:40
Market Street South,53.342296,-6.287661,FALSE,38,34,4,OPEN,17-08-2019 22:40
Kevin Street,53.337757,-6.267699,TRUE,40,34,6,OPEN,17-08-2019 22:40
Eccles Street East,53.358115,-6.265601,FALSE,27,26,1,OPEN,17-08-2019 22:40
Grand Canal Dock,53.342638,-6.238695,FALSE,40,23,16,OPEN,17-08-2019 22:40
Merrion Square East,53.339434,-6.246548,FALSE,30,30,0,OPEN,17-08-2019 22:40
York Street West,53.339334,-6.264699,FALSE,40,1,39,OPEN,17-08-2019 22:40
St. Stephen's Green South,53.337494,-6.26199,TRUE,30,14,16,OPEN,17-08-2019 22:40
Denmark Street Great,53.35561,-6.261397,FALSE,20,18,2,OPEN,17-08-2019 22:40
Royal Hospital,53.343897,-6.29706,TRUE,40,16,24,OPEN,17-08-2019 22:40
Heuston Station (Car Park),53.346985,-6.297804,FALSE,40,30,10,OPEN,17-08-2019 22:40
Grangegorman Lower (North),53.355954,-6.278378,FALSE,36,26,10,OPEN,17-08-2019 22:40
St. Stephen's Green East,53.337824,-6.256035,TRUE,40,5,34,OPEN,17-08-2019 22:40
Heuston Station (Central),53.346603,-6.296924,FALSE,40,6,34,OPEN,17-08-2019 22:40
Townsend Street,53.345922,-6.254614,FALSE,20,4,16,OPEN,17-08-2019 22:40
George's Lane,53.35023,-6.279696,FALSE,40,21,19,OPEN,17-08-2019 22:40
Phibsborough Road,53.356307,-6.273717,FALSE,40,40,0,OPEN,17-08-2019 22:40
Eccles Street,53.359246,-6.269779,FALSE,20,18,2,OPEN,17-08-2019 22:40
Portobello Harbour,53.330362,-6.265163,FALSE,30,9,20,OPEN,17-08-2019 22:40
Mater Hospital,53.359967,-6.264828,FALSE,40,37,3,OPEN,17-08-2019 22:40
Blessington Street,53.356769,-6.26814,TRUE,20,20,0,OPEN,17-08-2019 22:40
James Street,53.343456,-6.287409,TRUE,40,34,6,OPEN,17-08-2019 22:40
Mountjoy Square East,53.356717,-6.256359,TRUE,40,36,4,OPEN,17-08-2019 22:40
Merrion Square West,53.339764,-6.251988,TRUE,20,13,7,OPEN,17-08-2019 22:40
Convention Centre,53.34744,-6.238523,TRUE,40,37,3,OPEN,17-08-2019 22:40
Hardwicke Street,53.355473,-6.264423,FALSE,16,10,6,OPEN,17-08-2019 22:40
Parkgate Street,53.347972,-6.291804,TRUE,38,10,28,OPEN,17-08-2019 22:40
Smithfield,53.347692,-6.278214,FALSE,30,0,0,CLOSED,17-08-2019 22:40
Dame Street,53.344007,-6.266802,TRUE,16,0,16,OPEN,17-08-2019 22:40
Heuston Bridge (South),53.347106,-6.292041,FALSE,25,10,15,OPEN,17-08-2019 22:40
Cathal Brugha Street,53.352149,-6.260533,FALSE,20,12,8,OPEN,17-08-2019 22:40
Sandwith Street,53.345203,-6.247163,TRUE,40,17,23,OPEN,17-08-2019 22:40
Buckingham Street Lower,53.353331,-6.249319,FALSE,29,13,16,OPEN,17-08-2019 22:40
Rothe Abbey,53.338776,-6.30395,TRUE,35,21,14,OPEN,17-08-2019 22:40
Charleville Road,53.359157,-6.281866,TRUE,40,35,5,OPEN,17-08-2019 22:40
Princes Street / O'Connell Street,53.349013,-6.260311,TRUE,23,2,21,OPEN,17-08-2019 22:40
Upper Sherrard Street,53.358437,-6.260641,FALSE,30,23,7,OPEN,17-08-2019 22:40
Fitzwilliam Square East,53.335211,-6.2509,TRUE,40,37,3,OPEN,17-08-2019 22:40
Grattan Street,53.339629,-6.243778,FALSE,23,19,4,OPEN,17-08-2019 22:40
St James Hospital (Luas),53.341359,-6.292951,FALSE,40,32,8,OPEN,17-08-2019 22:40
Harcourt Terrace,53.332763,-6.257942,FALSE,20,17,3,OPEN,17-08-2019 22:40
Bolton Street,53.351182,-6.269859,FALSE,20,5,15,OPEN,17-08-2019 22:40
Jervis Street,53.3483,-6.266651,TRUE,21,16,5,OPEN,17-08-2019 22:40
Ormond Quay Upper,53.346057,-6.268001,TRUE,29,2,27,OPEN,17-08-2019 22:40
Grangegorman Lower (South),53.354663,-6.278681,FALSE,40,36,4,OPEN,17-08-2019 22:40
Mountjoy Square West,53.356299,-6.258586,FALSE,30,27,3,OPEN,17-08-2019 22:40
Wilton Terrace,53.332383,-6.252717,TRUE,20,16,4,OPEN,17-08-2019 22:40
Emmet Road,53.340714,-6.308191,FALSE,40,33,7,OPEN,17-08-2019 22:40
Heuston Bridge (North),53.347802,-6.292432,FALSE,40,15,25,OPEN,17-08-2019 22:40
Leinster Street South,53.34218,-6.254485,FALSE,30,4,26,OPEN,17-08-2019 22:40
Blackhall Place,53.3488,-6.281637,FALSE,30,0,30,OPEN,17-08-2019 22:40
Smithfield North,53.349562,-6.278198,TRUE,30,3,27,OPEN,18-08-2019 09:55
Parnell Square North,53.353462,-6.265305,TRUE,20,19,1,OPEN,18-08-2019 09:55
Clonmel Street,53.336021,-6.26298,FALSE,33,33,0,OPEN,18-08-2019 09:55
Avondale Road,53.359405,-6.276142,FALSE,40,26,14,OPEN,18-08-2019 09:55
Mount Street Lower,53.33796,-6.24153,FALSE,40,35,5,OPEN,18-08-2019 09:55
Christchurch Place,53.343368,-6.27012,FALSE,20,1,19,OPEN,18-08-2019 09:55
Grantham Street,53.334123,-6.265436,TRUE,30,28,2,OPEN,18-08-2019 09:55
Pearse Street,53.344304,-6.250427,TRUE,30,6,24,OPEN,18-08-2019 09:55
York Street East,53.338755,-6.262003,FALSE,32,5,27,OPEN,18-08-2019 09:55
Excise Walk,53.347777,-6.244239,FALSE,40,10,30,OPEN,18-08-2019 09:55
Fitzwilliam Square West,53.336074,-6.252825,FALSE,30,20,10,OPEN,18-08-2019 09:55
Portobello Road,53.330091,-6.268044,TRUE,30,20,10,OPEN,18-08-2019 09:55
St. James Hospital (Central),53.339983,-6.295594,FALSE,40,35,5,OPEN,18-08-2019 09:55
Parnell Street,53.350929,-6.265125,FALSE,20,17,3,OPEN,18-08-2019 09:55
Frederick Street South,53.341515,-6.256853,TRUE,40,22,18,OPEN,18-08-2019 09:55
Fownes Street Upper,53.344603,-6.263371,FALSE,30,6,24,OPEN,18-08-2019 09:55
Custom House,53.348279,-6.254662,TRUE,30,7,23,OPEN,18-08-2019 09:55
Rathdown Road,53.35893,-6.280337,FALSE,40,40,0,OPEN,18-08-2019 09:55
North Circular Road (O'Connell's),53.357841,-6.251557,FALSE,30,24,6,OPEN,18-08-2019 09:55
Hanover Quay,53.344115,-6.237153,TRUE,40,33,7,OPEN,18-08-2019 09:55
Oliver Bond Street,53.343893,-6.280531,FALSE,30,20,10,OPEN,18-08-2019 09:55
Collins Barracks Museum,53.347477,-6.28525,TRUE,38,11,27,OPEN,18-08-2019 09:55
Brookfield Road,53.339005,-6.300217,FALSE,30,26,4,OPEN,18-08-2019 09:55
Benson Street,53.344153,-6.233451,FALSE,40,32,8,OPEN,18-08-2019 09:55
Earlsfort Terrace,53.334019,-6.258371,FALSE,30,26,4,OPEN,18-08-2019 09:55
Golden Lane,53.340803,-6.267732,FALSE,20,6,14,OPEN,18-08-2019 09:55
Deverell Place,53.351464,-6.255265,FALSE,30,1,29,OPEN,18-08-2019 09:55
Wilton Terrace (Park),53.333653,-6.248345,TRUE,40,29,11,OPEN,18-08-2019 09:55
John Street West,53.343105,-6.277167,FALSE,31,22,9,OPEN,18-08-2019 09:55
Fenian Street,53.341428,-6.24672,FALSE,35,31,4,OPEN,18-08-2019 09:55
Merrion Square South,53.338614,-6.248606,TRUE,40,40,0,OPEN,18-08-2019 09:55
South Dock Road,53.341833,-6.231291,FALSE,30,7,23,OPEN,18-08-2019 09:55
City Quay,53.346637,-6.246154,FALSE,30,26,4,OPEN,18-08-2019 09:55
Exchequer Street,53.343034,-6.263578,FALSE,24,12,12,OPEN,18-08-2019 09:55
The Point,53.346867,-6.230852,FALSE,40,5,35,OPEN,18-08-2019 09:55
Hatch Street,53.33403,-6.260714,FALSE,36,31,5,OPEN,18-08-2019 09:55
Lime Street,53.346026,-6.243576,FALSE,40,30,10,OPEN,18-08-2019 09:55
Charlemont Street,53.330662,-6.260177,FALSE,40,22,18,OPEN,18-08-2019 09:55
Kilmainham Gaol,53.342113,-6.310015,TRUE,40,40,0,OPEN,18-08-2019 09:55
Hardwicke Place,53.357043,-6.263232,TRUE,25,18,7,OPEN,18-08-2019 09:55
Wolfe Tone Street,53.348875,-6.267459,FALSE,29,14,15,OPEN,18-08-2019 09:55
Francis Street,53.342081,-6.275233,FALSE,30,17,13,OPEN,18-08-2019 09:55
Greek Street,53.346874,-6.272976,FALSE,20,3,17,OPEN,18-08-2019 09:55
Guild Street,53.347932,-6.240928,FALSE,40,34,6,OPEN,18-08-2019 09:55
Herbert Place,53.334432,-6.245575,FALSE,30,16,14,OPEN,18-08-2019 09:55
High Street,53.343565,-6.275071,TRUE,29,22,7,OPEN,18-08-2019 09:55
North Circular Road,53.359624,-6.260348,FALSE,30,12,13,OPEN,18-08-2019 09:55
Western Way,53.354929,-6.269425,FALSE,40,40,0,OPEN,18-08-2019 09:55
Talbot Street,53.350974,-6.25294,FALSE,40,3,37,OPEN,18-08-2019 09:55
Newman House,53.337132,-6.26059,FALSE,40,34,6,OPEN,18-08-2019 09:55
Sir Patrick's Dun,53.339218,-6.240642,TRUE,40,32,8,OPEN,18-08-2019 09:55
New Central Bank,53.347122,-6.234749,FALSE,40,18,22,OPEN,18-08-2019 09:55
Grangegorman Lower (Central),53.355173,-6.278424,TRUE,40,40,0,OPEN,18-08-2019 09:55
King Street North,53.350291,-6.273507,FALSE,30,10,20,OPEN,18-08-2019 09:55
Killarney Street,53.354845,-6.247579,FALSE,30,11,19,OPEN,18-08-2019 09:55
Herbert Street,53.335742,-6.24551,FALSE,40,33,7,OPEN,18-08-2019 09:55
Custom House Quay,53.347884,-6.248048,FALSE,30,8,22,OPEN,18-08-2019 09:55
Molesworth Street,53.341288,-6.258117,FALSE,20,5,15,OPEN,18-08-2019 09:55
Georges Quay,53.347508,-6.252192,FALSE,20,4,16,OPEN,18-08-2019 09:55
Kilmainham Lane,53.341805,-6.305085,FALSE,30,27,3,OPEN,18-08-2019 09:55
Mount Brown,53.341645,-6.29719,FALSE,22,15,7,OPEN,18-08-2019 09:55
Market Street South,53.342296,-6.287661,FALSE,38,37,1,OPEN,18-08-2019 09:55
Kevin Street,53.337757,-6.267699,TRUE,40,30,10,OPEN,18-08-2019 09:55
Eccles Street East,53.358115,-6.265601,FALSE,27,23,4,OPEN,18-08-2019 09:55
Grand Canal Dock,53.342638,-6.238695,FALSE,40,18,21,OPEN,18-08-2019 09:55
Merrion Square East,53.339434,-6.246548,FALSE,30,28,2,OPEN,18-08-2019 09:55
York Street West,53.339334,-6.264699,FALSE,40,0,40,OPEN,18-08-2019 09:55
St. Stephen's Green South,53.337494,-6.26199,TRUE,30,19,11,OPEN,18-08-2019 09:55
Denmark Street Great,53.35561,-6.261397,FALSE,20,20,0,OPEN,18-08-2019 09:55
Royal Hospital,53.343897,-6.29706,TRUE,40,22,18,OPEN,18-08-2019 09:55
Heuston Station (Car Park),53.346985,-6.297804,FALSE,40,30,10,OPEN,18-08-2019 09:55
Grangegorman Lower (North),53.355954,-6.278378,FALSE,36,28,8,OPEN,18-08-2019 09:55
St. Stephen's Green East,53.337824,-6.256035,TRUE,40,7,32,OPEN,18-08-2019 09:55
Heuston Station (Central),53.346603,-6.296924,FALSE,40,6,34,OPEN,18-08-2019 09:55
Townsend Street,53.345922,-6.254614,FALSE,20,5,15,OPEN,18-08-2019 09:55
George's Lane,53.35023,-6.279696,FALSE,40,26,14,OPEN,18-08-2019 09:55
Phibsborough Road,53.356307,-6.273717,FALSE,40,38,2,OPEN,18-08-2019 09:55
Eccles Street,53.359246,-6.269779,FALSE,20,14,6,OPEN,18-08-2019 09:55
Portobello Harbour,53.330362,-6.265163,FALSE,30,27,3,OPEN,18-08-2019 09:55
Mater Hospital,53.359967,-6.264828,FALSE,40,37,3,OPEN,18-08-2019 09:55
